genes	cluster
X110710656	2
X110731108	2
X110706602	2
X110699081	2
X110730085	2
X110721072	2
X110732547	2
X110688662	2
X110691922	2
X110683963	2
X110697416	2
X110705060	2
X110687652	2
X110739519	2
X110685841	2
X110714366	2
X110739617	2
X110731309	2
X110690871	2
X110715317	2
X110716416	2
X110708474	2
X110715085	2
X110701465	2
X110699383	2
X110690407	2
X110693962	2
X110729345	2
X110682276	2
X110728087	2
X110705304	2
X110700646	2
X110686969	2
X110698619	2
X110720352	2
X110717125	2
X110693711	2
X110700281	2
X110721485	2
X110681633	2
X110691380	2
X110725726	2
X110738692	2
X110726510	2
X110683018	2
X110718594	2
X110699375	2
X110701883	2
X110718644	2
X110694887	2
X110683259	2
X110693841	2
X110681867	2
X110709817	2
X110732296	2
X110693174	2
X110719538	2
X110683957	2
X110719398	2
X110721426	2
X110690983	2
X110720182	2
X110704593	2
X110692653	2
X110712694	2
X110713990	2
X110684623	2
X110716510	3
X110723686	3
X110696142	3
X110689657	3
X110731582	3
X110716576	3
X110705861	3
X110714036	3
X110735567	3
X110726440	3
X110736768	3
X110725774	3
X110699526	3
X110722767	3
X110683425	3
X110716158	3
X110716624	3
X110690669	3
X110702414	3
X110725223	3
X110738435	3
X110716857	3
X110702440	3
X110687856	3
X110734730	3
X110714059	3
X110732312	3
X110726953	3
X110728069	3
X110714610	3
X110706032	3
X110723446	3
X110710349	3
X110716463	3
X110702874	3
X110716999	3
X110730556	3
X110685531	3
X110736388	3
X110698123	3
X110723936	3
X110738408	3
X110729559	3
X110709804	3
X110735553	3
X110700494	3
X110730559	3
X110687580	3
X110738374	3
X110696120	3
X110682499	3
X110731199	3
X110704632	3
X110688021	3
X110738342	3
X110734409	3
X110702360	3
X110731462	3
X110690184	3
X110693222	3
X110684278	3
X110720603	3
X110683635	3
X110716244	3
X110699181	3
X110699163	3
X110690676	3
X110707912	3
X110687490	3
X110706869	3
X110713829	3
X110723234	3
X110717151	3
X110738533	3
X110699271	3
X110682351	3
X110711840	3
X110719387	3
X110682527	3
X110725730	3
X110710448	3
X110693176	3
X110705708	3
X110739715	3
X110712079	3
X110690396	3
X110733567	3
X110725219	3
X110685939	3
X110684864	3
X110700533	3
X110692991	3
X110721970	3
X110685553	3
X110687903	3
X110696622	3
X110697876	3
X110714469	3
X110729147	3
X110713033	3
X110706003	3
X110724531	3
X110734720	3
X110733191	3
X110708354	3
X110726396	3
X110720023	3
X110735041	3
X110702856	3
X110722674	3
X110707004	3
X110715796	3
X110710686	3
X110722764	3
X110691116	3
X110698535	3
X110694145	3
X110728156	3
X110693211	3
X110734370	3
X110690152	3
X110711732	3
X110733632	3
X110724440	3
X110727699	3
X110703433	3
X110707009	3
X110684675	3
X110724256	3
X110710928	3
X110698522	3
X110687860	3
X110708728	3
X110715976	3
X110695416	3
X110700609	4
X110738975	4
X110711059	4
X110727129	4
X110693197	4
X110734228	4
X110697137	4
X110702695	4
X110722324	4
X110681983	4
X110712188	4
X110713805	4
X110733311	4
X110734728	4
X110730557	4
X110714046	4
X110740226	4
X110727963	4
X110738734	4
X110733312	4
X110735075	4
X110732320	5
X110687007	5
X110722781	5
X110737704	5
X110733192	5
X110695111	5
X110681949	5
X110730610	5
X110720369	5
X110704624	5
X110731351	5
X110735083	5
X110709114	5
X110738626	5
X110686976	5
X110712161	5
X110695139	5
X110718364	5
X110694696	5
X110719847	7
X110733885	7
X110699173	7
X110723935	7
X110684270	7
X110701049	7
X110709565	7
X110740228	7
X110685807	7
X110689711	7
X110728061	7
X110701888	7
X110689717	7
X110707514	7
X110690049	7
X110698037	7
X110691395	7
X110722322	7
X110709826	7
X110727995	7
X110705508	7
X110705957	7
X110693822	7
X110721788	7
X110697412	7
X110713914	7
X110719696	7
X110733309	7
X110712352	7
X110692822	7
X110716316	7
X110732182	7
X110699350	7
