ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0045727	positive regulation of translation	3/381	15/21192	0.2	11.1244094488189	5.30731482890721	0.00223381147630575	0.0351515055924225	0.0302740239551964	cpLEPA/CSP41A/CRB	3
BP	GO:0006520	amino acid metabolic process	16/381	401/21192	0.0399002493765586	2.21933355587409	3.33540643077052	0.00262330557140681	0.040715139895944	0.0350656707237795	ASA3/ATPDX1/EDD/NA/ATSR/SHM1/IMS1/RidA/UMAMIT5/NA/NA/CRR1/ARATH;BSAS3;1/ATNAS4/EMB1030/AtGAD1	16
BP	GO:0042546	cell wall biogenesis	12/381	260/21192	0.0461538461538462	2.5671714112659	3.44024641116425	0.00275310256016521	0.0421522324414484	0.0363033580835441	ASFT/CESA4/XTH9/IRX9/GUX2/ATFLA11/ATCESA7/IRX15-L/XTH6/UMAMIT5/AtPPa1/ATRAB-A3	12
BP	GO:0015698	inorganic anion transport	7/381	107/21192	0.0654205607476635	3.6388255206417	3.70260600132781	0.00321816482880229	0.0486157433471066	0.0418700181936803	AtNITR2;2/AtNPF6.3/AtNPF2.7/AtNPF2.13/CEPR2/AtNPF7.3/AST12	7
BP	GO:0072598	protein localization to chloroplast	5/381	56/21192	0.0892857142857143	4.96625421822272	4.02119282830972	0.00329596841130307	0.0491359501316629	0.0423180431755949	MDH/EMB2458/PSB29/54CP/CPFTSY	5
CC	GO:0031976	plastid thylakoid	74/498	458/26902	0.161572052401747	8.72813524841725	22.9090932660159	2.45270880136326e-47	3.28662979382677e-45	2.42689081398049e-45	OE23/NDH-O/DEG1/NA/PSAK/NA/FLU/NA/PSAD-2/CHLM/NA/NA/PnsL3/LHCB3/PSBQ/PETC/ATLFNR1/HCF244/ATLOX2/OEC33/ATPLAT1/PSAH-2/LHCA3/RIQ2/CAB4/RIQ1/PSAL/PPD1/EMB2458/LHCB2/HCF136/PSB29/AtFBA1/ATHMA8/LHCA2/NA/NdhN/ELIP2/ACSF/MET1/SECE1/SHM1/PSBR/CURT1A/TROL/LHCA2*1/CP24/RBCS1A/CSP41A/NA/NA/CRR3/GBP/PSBW/PAM68L/PRK/STR10/CP33B/LHCB4.3/NA/ATLTP1/NA/CPFTSY/LHCB4.2/D27-LIKE1/LIL3:1/NA/OHP/LHCA1/BPG1/EDA3/NA/TL17/PSAF	74
CC	GO:0009534	chloroplast thylakoid	73/498	452/26902	0.161504424778761	8.72448199879163	22.7452003281954	1.11556989867305e-46	7.47431832110943e-45	5.51913528817193e-45	OE23/NDH-O/DEG1/NA/PSAK/NA/FLU/NA/PSAD-2/CHLM/NA/NA/PnsL3/LHCB3/PSBQ/PETC/ATLFNR1/HCF244/ATLOX2/OEC33/ATPLAT1/PSAH-2/LHCA3/RIQ2/CAB4/RIQ1/PSAL/PPD1/EMB2458/LHCB2/HCF136/PSB29/AtFBA1/ATHMA8/LHCA2/NA/NdhN/ELIP2/ACSF/MET1/SECE1/SHM1/PSBR/CURT1A/TROL/LHCA2*1/CP24/RBCS1A/CSP41A/NA/NA/CRR3/GBP/PSBW/PAM68L/PRK/STR10/LHCB4.3/NA/ATLTP1/NA/CPFTSY/LHCB4.2/D27-LIKE1/LIL3:1/NA/OHP/LHCA1/BPG1/EDA3/NA/TL17/PSAF	73
CC	GO:0042651	thylakoid membrane	63/498	394/26902	0.15989847715736	8.63772857929179	20.9743191669215	5.23892650708566e-40	2.3400538398316e-38	1.72792663742474e-38	OE23/NDH-O/mTERF6/DEG1/NA/PSAK/NA/FLU/NA/PSAD-2/CHLM/NA/NA/PnsL3/LHCB3/PSBQ/PETC/ATLFNR1/HCF244/ATLOX2/OEC33/ATPLAT1/PSAH-2/LHCA3/RIQ2/CAB4/RIQ1/PSAL/PPD1/EMB2458/LHCB2/HCF136/PSB29/ATHMA8/LHCA2/NA/NdhN/ELIP2/ACSF/MET1/SECE1/PSBR/CURT1A/TROL/LHCA2*1/CP24/RBCS1A/NA/CRR3/PSBW/PAM68L/PRK/CP33B/LHCB4.3/NA/LHCB4.2/LIL3:1/NA/OHP/LHCA1/EDA3/TL17/PSAF	63
CC	GO:0034357	photosynthetic membrane	63/498	398/26902	0.158291457286432	8.55091723678634	20.8424878168473	9.80820132957684e-40	3.28574744540824e-38	2.42623927626375e-38	OE23/NDH-O/mTERF6/DEG1/NA/PSAK/NA/FLU/NA/PSAD-2/CHLM/NA/NA/PnsL3/LHCB3/PSBQ/PETC/ATLFNR1/HCF244/ATLOX2/OEC33/ATPLAT1/PSAH-2/LHCA3/RIQ2/CAB4/RIQ1/PSAL/PPD1/EMB2458/LHCB2/HCF136/PSB29/ATHMA8/LHCA2/NA/NdhN/ELIP2/ACSF/MET1/SECE1/PSBR/CURT1A/TROL/LHCA2*1/CP24/RBCS1A/NA/CRR3/PSBW/PAM68L/PRK/CP33B/LHCB4.3/NA/LHCB4.2/LIL3:1/NA/OHP/LHCA1/EDA3/TL17/PSAF	63
CC	GO:0055035	plastid thylakoid membrane	61/498	371/26902	0.164420485175202	8.88200781562909	20.9947654795578	1.78254404811547e-39	4.77721804894947e-38	3.52756085311273e-38	OE23/NDH-O/DEG1/NA/PSAK/NA/FLU/NA/PSAD-2/CHLM/NA/NA/PnsL3/LHCB3/PSBQ/PETC/ATLFNR1/ATLOX2/OEC33/ATPLAT1/PSAH-2/LHCA3/RIQ2/CAB4/RIQ1/PSAL/PPD1/EMB2458/LHCB2/HCF136/PSB29/ATHMA8/LHCA2/NA/NdhN/ELIP2/ACSF/MET1/SECE1/PSBR/CURT1A/TROL/LHCA2*1/CP24/RBCS1A/NA/CRR3/PSBW/PAM68L/PRK/CP33B/LHCB4.3/NA/LHCB4.2/LIL3:1/NA/OHP/LHCA1/EDA3/TL17/PSAF	61
