ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:0009532	plastid stroma	38/127	88/498	0.431818181818182	1.6932712956335	4.18934114087001	4.7249234722048e-05	0.000155922474582758	7.70908566517625e-05	LHCA1/SBPASE/PSBQ/TL17/RBCS1A/NA/NA/MET1/NA/ACA1/NA/LHCB2/OE23/NA/LHCA3/bL9c/AtFAP1/CP33B/PSAF/NA/ATLOX2/NA/ATNDPK2/PSAL/HCF136/At-NEET/NA/PDE312/PRK/HMR/PRPL3/NA/ATPGLP1/CURT1A/ARRPS1/CSP41A/ACHT1/PYRR	38
CC	GO:0009536	plastid	81/127	243/498	0.333333333333333	1.30708661417323	3.91009251067284	6.52321387269356e-05	0.000205015293141798	0.000101363223084461	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/SBPASE/TROL/PSBQ/TL17/ATFXG1/EDA3/PSAK/LHCB4.3/RBCS1A/ASA3/NA/NA/PSAH-2/NA/cpLEPA/MET1/NA/LACS2/PSAD-2/ACA1/NA/LHCB2/OE23/PSBW/STR10/NdhN/NA/NA/LHCA3/NA/LHCA2/ACSF/AtLtpI-5/bL9c/u18-L8/PETC/AtFAP1/CP33B/CHLM/KAT5/PSAF/DEG1/NA/STN8/ATLOX2/NA/NA/PAM68L/ATNDPK2/SIBP1/GRXS6/PSAL/HCF136/MEX1/SAUR1/At-NEET/NA/PDE312/PRK/AtSWEET17/HMR/PRPL3/EMB3143/LHCB4.2/NA/ATPGLP1/RIQ2/CURT1A/ARRPS1/ATHPR1/NA/CSP41A/ACHT1/PYRR/ATCESA7	81
CC	GO:0005737	cytoplasm	110/127	373/498	0.294906166219839	1.15640370690929	3.5240296312732	0.00019111773071643	0.00057335319214929	0.000283476059914322	PSBR/CAB4/LHCB3/LHCA1/CP24/PIP1;4/NA/NA/NA/SBPASE/TROL/PSBQ/CER4/TL17/XCP1/ATFXG1/AtLigB/ATH7/IRX9/EDA3/PSAK/LHCB4.3/RBCS1A/ASA3/ATSBT5.2/NA/NA/PSAH-2/NA/cpLEPA/ACL5/UGT88A1/MET1/ATPMEPCRA/NA/ATGGH2/AtC3H23/AtGAD1/LACS2/NA/ATSYP111/PSAD-2/ACA1/NA/NA/LHCB2/OE23/PSBW/STR10/NdhN/AtPPa1/NA/NA/NA/BLH9/LHCA3/NA/LHCA2/ACSF/AtLtpI-5/bL9c/u18-L8/ARF1/PETC/AtFAP1/CP33B/CHLM/IRX15-L/KAT5/SKM1/CYP83A1/PSAF/DEG1/NA/STN8/ATLOX2/AtAUX1/NA/NA/PAM68L/ATNDPK2/SIBP1/GRXS6/PSAL/HCF136/MEX1/SAUR1/At-NEET/NA/CYCB2;1/ATPRR1/PDE312/PRK/AtSWEET17/HMR/PRPL3/EMB3143/SCPL34/LHCB4.2/NA/ATPGLP1/RIQ2/CURT1A/ARRPS1/ATHPR1/NA/CSP41A/ACHT1/PYRR/ATCESA7	110
CC	GO:0098796	membrane protein complex	12/127	20/498	0.6	2.35275590551181	3.60922193482993	0.000886961735415392	0.00254519454510504	0.0012583896475001	PSBR/LHCB3/CP24/TROL/PSAH-2/ATSYP111/PSAD-2/LHCB2/OE23/LHCA2/PSAF/PSAL	12
CC	GO:0016020	membrane	56/127	162/498	0.345679012345679	1.35549722951298	3.21971320759954	0.0010615059875572	0.00291914146578231	0.00144327568483655	PSBR/CAB4/LHCB3/LHCA1/CP24/PIP1;4/NA/TROL/CEPR2/PSBQ/TL17/IRX9/EDA3/AAP2/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/cpLEPA/MET1/ATPMEPCRA/AtNPF7.3/LACS2/ATSYP111/PSAD-2/LHCB2/CESA4/OE23/PSBW/NdhN/LHCA3/LHCA2/ACSF/AtLtpI-5/PETC/CP33B/CHLM/SKM1/PSAF/PNET3/DEG1/ATLOX2/AtAUX1/PAM68L/PSAL/HCF136/MEX1/At-NEET/NA/PRK/AtSWEET17/LHCB4.2/RIQ2/CURT1A/ATCESA7	56
CC	GO:0009521	photosystem	9/127	14/498	0.642857142857143	2.52080989876265	3.37372257881844	0.00216743394041935	0.00572202560270707	0.00282907166959999	PSBR/CP24/PSAH-2/PSAD-2/LHCB2/OE23/LHCA2/PSAF/PSAL	9
CC	GO:0010287	plastoglobule	7/127	10/498	0.7	2.74488188976378	3.25798607787581	0.00361395546440693	0.00917388694810991	0.00453573357881032	LHCA1/LHCB2/LHCA3/PSAF/PSAL/CURT1A/CSP41A	7
CC	GO:0032991	protein-containing complex	21/127	54/498	0.388888888888889	1.5249343832021	2.38783060828713	0.015364090121936	0.0362799045931283	0.0179374328929343	PSBR/LHCB3/CP24/TROL/PSAH-2/ATSYP111/PSAD-2/LHCB2/OE23/NdhN/LHCA2/bL9c/PETC/CP33B/PSAF/PSAL/CYCB2;1/PDE312/HMR/NA/ATCESA7	21
CC	GO:0005829	cytosol	34/127	98/498	0.346938775510204	1.36043708822112	2.32704946413599	0.0153914746758726	0.0362799045931283	0.0179374328929343	CAB4/PIP1;4/NA/NA/NA/SBPASE/TROL/PSBQ/ATH7/RBCS1A/UGT88A1/AtGAD1/AtPPa1/NA/BLH9/LHCA2/bL9c/PETC/AtFAP1/CHLM/CYP83A1/DEG1/NA/ATLOX2/NA/PSAL/At-NEET/PRPL3/LHCB4.2/CURT1A/ATHPR1/NA/CSP41A/PYRR	34
MF	GO:0003729	mRNA binding	25/127	43/493	0.581395348837209	2.25691265336019	5.07664667487417	2.2952482927256e-06	7.19044821403787e-05	6.7859039406528e-05	PSBR/CAB4/LHCA1/CP24/PSBQ/RBCS1A/cpLEPA/PSAD-2/LHCB2/OE23/LHCA3/ACSF/bL9c/ARF1/PETC/CP33B/PSAF/ATLOX2/PSAL/NA/PRPL3/LHCB4.2/ARRPS1/ATHPR1/CSP41A	25
MF	GO:0003723	RNA binding	28/127	51/493	0.549019607843137	2.13123359580053	5.02076757336105	2.47946490139237e-06	7.19044821403787e-05	6.7859039406528e-05	PSBR/CAB4/LHCA1/CP24/PSBQ/RBCS1A/cpLEPA/AtC3H23/PSAD-2/LHCB2/OE23/LHCA3/ACSF/bL9c/u18-L8/ARF1/PETC/CP33B/PSAF/ATLOX2/PSAL/NA/PDE312/PRPL3/LHCB4.2/ARRPS1/ATHPR1/CSP41A	28
MF	GO:0003676	nucleic acid binding	30/127	59/493	0.508474576271186	1.97384225276925	4.69152055974984	8.67355544959326e-06	0.000167688738692136	0.00015825434504521	PSBR/CAB4/LHCA1/CP24/PSBQ/LOL1/RBCS1A/cpLEPA/AtC3H23/PSAD-2/LHCB2/OE23/BLH9/LHCA3/ACSF/bL9c/u18-L8/ARF1/PETC/CP33B/PSAF/ATLOX2/PSAL/NA/PDE312/PRPL3/LHCB4.2/ARRPS1/ATHPR1/CSP41A	30
MF	GO:0046906	tetrapyrrole binding	8/127	11/493	0.727272727272727	2.82319255547602	3.59872972803527	0.00129518218511718	0.0187801416841991	0.0177235456910772	CAB4/LHCA1/CP24/LHCB4.3/LHCB2/LHCA3/LHCA2/LHCB4.2	8
