ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
MF	GO:0038023	signaling receptor activity	9/257	185/26722	0.0486486486486487	5.05832369334315	5.45837792096193	8.08260142877893e-05	0.00298045927686223	0.00249922544179349	ATGER3/LecRK-II.1/JK224/ARK3/MLP423/TMK3/CEPR2/PYL9/PYL3	9
MF	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	12/257	342/26722	0.0350877192982456	3.64830363847362	4.857361213862	0.000129997978506615	0.00420941032562101	0.0035297463925814	SQE3/CYP82G1/LBO1/F3'H/CYP86B1/CYP83A1/JAO2/ACSF/CYP78A9/ATFLS1/AtDAO/ACO5	12
MF	GO:0016168	chlorophyll binding	4/257	28/26722	0.142857142857143	14.8538076709283	7.22766987319292	0.00014269187544478	0.00420941032562101	0.0035297463925814	LHCA3/LHCB2/LHCB4.3/LHCA1	4
MF	GO:0004497	monooxygenase activity	10/257	254/26722	0.0393700787401575	4.09356904316921	4.88172234342075	0.000188521627870867	0.00505580729290051	0.00423948158369892	SQE3/CYP82G1/APX1/CYP718/CYP722A1/ATCAO/CYP83A1/ACSF/CYP78A9/ACO5	10
MF	GO:0016706	2-oxoglutarate-dependent dioxygenase activity	6/257	99/26722	0.0606060606060606	6.30161537554534	5.20779984510171	0.000396407242398749	0.0097450113756359	0.00817155280383385	LBO1/F3'H/JAO2/ATFLS1/AtDAO/ACO5	6
MF	GO:0033293	monocarboxylic acid binding	5/257	68/26722	0.0735294117647059	7.64534218356603	5.40689049964028	0.000503474725125553	0.0114250033778491	0.00958028829186275	MLP423/ATLOX2/PYL9/RBCS1A/PYL3	5
MF	GO:0046906	tetrapyrrole binding	7/257	149/26722	0.0469798657718121	4.88480923406367	4.68596999944978	0.000617423460416325	0.0126797777408046	0.0106324630475971	NA/LHCA3/LHCB2/CYP86B1/CYP78A9/LHCB4.3/LHCA1	7
MF	GO:0010427	abscisic acid binding	3/257	18/26722	0.166666666666667	17.3294422827497	6.82930345912728	0.000644734461396846	0.0126797777408046	0.0106324630475971	MLP423/PYL9/PYL3	3
MF	GO:0004864	protein phosphatase inhibitor activity	3/257	19/26722	0.157894736842105	16.4173663731313	6.62466515363179	0.000760200701940614	0.0140162004420301	0.0117531029576345	MLP423/PYL9/PYL3	3
MF	GO:0019212	phosphatase inhibitor activity	3/257	21/26722	0.142857142857143	14.8538076709283	6.25852518381627	0.00102869819240235	0.0178509392210996	0.014968673387898	MLP423/PYL9/PYL3	3
MF	GO:0019840	isoprenoid binding	3/257	23/26722	0.130434782608696	13.5621722212824	5.93933920778086	0.00135049356484011	0.021571171106578	0.0180882255487808	MLP423/PYL9/PYL3	3
MF	GO:0031406	carboxylic acid binding	5/257	86/26722	0.0581395348837209	6.04515428468012	4.61791718600738	0.00146245227841207	0.021571171106578	0.0180882255487808	MLP423/ATLOX2/PYL9/RBCS1A/PYL3	5
MF	GO:0043177	organic acid binding	5/257	86/26722	0.0581395348837209	6.04515428468012	4.61791718600738	0.00146245227841207	0.021571171106578	0.0180882255487808	MLP423/ATLOX2/PYL9/RBCS1A/PYL3	5
MF	GO:0004620	phospholipase activity	4/257	59/26722	0.0677966101694915	7.0492646573897	4.58385689684776	0.00251261581703466	0.035296269810725	0.0295972289224634	MEE54/AtNPC4/DALL3/DALL2	4
MF	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	3/257	31/26722	0.0967741935483871	10.0622568093385	4.97498476914168	0.00323901019701027	0.0434321821871831	0.0364194926458092	ATLOX2/HPD/ATLOX6	3
MF	GO:0016829	lyase activity	9/257	318/26722	0.0283018867924528	2.94273548197636	3.43438782701097	0.00384103727097238	0.0492654780407328	0.0413109271706412	AtMDD2/ATSR/NA/NA/ICL/PLL19/ACA1/ARATH;BSAS3;1/AtGAD1	9
